video_id,title,channel_title,category_name,country,views,likes,dislikes,comment_count,like_ratio,comment_ratio,title_sentiment,publish_time,publish_day,publish_hour
JltGeM1-M5s,Let's Learn about Emotions the Fun Way! 😱😂😡 #kidssong #funny #art,MEOWJI,Howto & Style,PK,128267520,1694755,0,0,1,0,0.312,2025-04-22 11:00:26+00:00,Tuesday,11
aHoAICTzjKc,DIY Bamboo Creations with new Three Clour Balloone Slingshots #Bamboo #Bambooart,Bamboo Art,People & Blogs,PK,118002682,2359799,0,2013,1,0,0.136,2025-05-04 01:00:01+00:00,Sunday,1
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,Rockstar Games,Gaming,IN,102557776,5764661,0,473463,1,0.0046,0.5,2025-05-06 13:29:04+00:00,Tuesday,13
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,Rockstar Games,Gaming,FR,102557776,5764661,0,473464,1,0.0046,0.5,2025-05-06 13:29:04+00:00,Tuesday,13
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,Rockstar Games,Gaming,IT,102557776,5764661,0,473464,1,0.0046,0.5,2025-05-06 13:29:04+00:00,Tuesday,13
v9muEuZEgII,【National food 】Which country’s food is this?🫘🥚🥬,ISSEI / いっせい,Entertainment,PK,84812038,2521844,0,3798,1,0,0,2025-05-06 11:01:29+00:00,Tuesday,11
v9muEuZEgII,【National food 】Which country’s food is this?🫘🥚🥬,ISSEI / いっせい,Entertainment,IT,84812038,2521844,0,3798,1,0,0,2025-05-06 11:01:29+00:00,Tuesday,11
vlPDhY7wXaU,wow,dednahype,Comedy,PK,84798046,1008814,0,1058,1,0,0.1,2025-05-02 12:59:15+00:00,Friday,12
BOmTTKTQceM,CRAZIEST IMPOSSIBLE SHOT YET 🤯🏒 @AlwaysHockey,Dude Perfect,Sports,PK,78144738,3555000,0,2751,1,0,-0.667,2025-05-01 19:49:30+00:00,Thursday,19
c5Y85Cy54h8,🤝Me And My Boss Working Together At The Studio💀 🎯...,Mini Katana,People & Blogs,PK,64699381,1093386,0,1464,1,0,0,2025-04-26 01:00:42+00:00,Saturday,1
uAMl069BqdU,"😅Air Conditioner Mini Cooling Fan,Portable USB Desk Fan 3 Wind Speed 360°Rotatable￼ humidifier🌬️",Rj Mobile 01,People & Blogs,PK,61288540,1604269,0,3668,1,0.0001,0,2025-05-01 13:06:37+00:00,Thursday,13
